Name,Phonetic
# Anime Brief (anime_en) respellings for gTTS English. Sep 26 2026.
# Source: the Anime Brief app's own table (media/TtsPronunciation.kt englishRules), minus
# rows that break the pronunciation rules (native English words such as Madhouse, Bebop,
# Abyss, simulcast, Fullmetal stay whole; no-op rows dropped), plus Japanese names from
# the live pool whose ou / ei / uu digraphs or macron vowels English TTS misreads
# (ou -> "ow", ei -> "ee", macrons unknown), respelled the way the app table already does
# it (Toei -> Toh-ay, shounen -> shoh-nen, seiyuu -> say-yoo).
# The app's case-sensitive rows (WIT, ANN, OVA, ONA) are not copied: this loader is
# case-insensitive and "Ann" / "wit" / "ova" are ordinary words.
# ─── Studios ───
Toei Animation,Toh-ay Animation
Toei,Toh-ay
Kyoto Animation,Kyoh-toh Animation
KyoAni,Kyo-Ah-nee
Ufotable,Yoo-foh-table
MAPPA,Mah-puh
Pierrot,Pyair-oh
Studio Pierrot,Studio Pyair-oh
J.C. Staff,Jay-See Staff
JC Staff,Jay-See Staff
A-1 Pictures,Ay-One Pictures
P.A. Works,Pee-Ay Works
PA Works,Pee-Ay Works
Studio Ghibli,Studio Jee-blee
Ghibli,Jee-blee
CloverWorks,Clover Works
OLM,Oh-El-Em
# ─── Publishers ───
Shueisha,Shoo-ay-shah
Kodansha,Koh-dahn-shah
Kadokawa,Kah-doh-kah-wah
Shogakukan,Shoh-gah-koo-kahn
# ─── Streaming ───
HIDIVE,High-Dive
# ─── Genre / industry vocabulary ───
seiyuu,say-yoo
shounen,shoh-nen
shonen,shoh-nen
Shōnen,Shoh-nen
shoujo,shoh-joh
shojo,shoh-joh
seinen,say-nen
josei,joh-say
isekai,ee-seh-kai
otaku,oh-tah-koo
kawaii,kah-wah-ee
mangaka,mahn-gah-kah
doujin,doh-jeen
tankobon,tahn-koh-bon
# ─── Titles ───
Kimetsu no Yaiba,Kee-met-soo no Yah-ee-bah
Jujutsu Kaisen,Joo-joot-soo Kai-sen
Kaguya-sama,Kah-goo-yah-sah-mah
Sousou no Frieren,Soh-soh no Free-ren
Frieren,Free-ren
Dandadan,Dan-dah-dan
Kaiju No. 8,Kai-joo Number Eight
Kaiju No 8,Kai-joo Number Eight
Bocchi the Rock,Boh-chee the Rock
Mushoku Tensei,Moo-shoh-koo Ten-say
Tensei,Ten-say
Re:Zero,Reh Zero
Steins;Gate,Steens Gate
Tonari no Totoro,Toh-nah-ree no Toh-toh-roh
Bungou Stray Dogs,Boon-go Stray Dogs
Bungo Stray Dogs,Boon-go Stray Dogs
Boku no Hero Academia,Boh-koo no Hero Academia
Shingeki no Kyojin,Shin-geh-kee no Kyoh-jeen
Spy×Family,Spy Family
Spy x Family,Spy Family
Oshi no Ko,Oh-shee no Koh
Mob Psycho 100,Mob Psycho One Hundred
Yuu Yuu Hakusho,Yoo Yoo Hah-koo-shoh
Yu Yu Hakusho,Yoo Yoo Hah-koo-shoh
Hunter × Hunter,Hunter Hunter
Hunter x Hunter,Hunter Hunter
Code Geass,Code Gee-ahss
Neon Genesis Evangelion,Neon Genesis Eh-van-gel-ee-on
Evangelion,Eh-van-gel-ee-on
Denshou,Den-shoh
Denshō,Den-shoh
Hyouken,Hyoh-ken
Houseki,Hoh-seh-kee
Settei,Set-tay
Musou,Moo-soh
Gotei,Goh-tay
# ─── Characters ───
Tanjiro,Tahn-jee-roh
Tanjirou,Tahn-jee-roh
Nezuko,Nez-oo-koh
Zenitsu,Zen-ee-tsoo
Inosuke,Ee-noh-soo-kay
Muzan,Moo-zahn
Rengoku,Ren-goh-koo
Gojo Satoru,Goh-joh Sah-toh-roo
Satoru Gojo,Sah-toh-roo Goh-joh
Yuji Itadori,Yoo-jee Ee-tah-doh-ree
