# Hype ID phonetic overrides for id-ID system TTS.
# Format: original,phonetic-rendering
# Lines beginning with # are ignored. Empty lines skipped.
# Word-boundary matched, case-insensitive. Add new rows freely.

# ─── Publishers / sources ────────────────────────────────────────────────
Liputan6,Liputan Enam
liputan6,Liputan Enam
SINDOnews,Sindo Nius
sindo,Sindo
detik.com,Detik dot kom
detikcom,Detik dot kom
CNN Indonesia,Si En En Indonesia
Tempo.co,Tempo dot co
Antara,Antara
Okezone,Okezon
Tribunnews,Tribun nius
KapanLagi,Kapan Lagi
Wowkeren,Wow keren

# ─── English abbreviations heard as Indonesian letters ───────────────────
MV,Em Vi
MC,Em Se
DJ,Di Je
OST,O Es Te
TV,Ti Vi
CEO,Si I O
CD,Si Di
DVD,Di Vi Di
HD,Ha De
3D,Tiga De
EP,I Pi
LP,El Pe

# ─── K-pop names commonly mentioned in Indonesian press ─────────────────
BTS,Bi Ti Es
BLACKPINK,Blek Pink
NewJeans,Niu Jins
TWICE,Twais
Stray Kids,Strey Kids
LE SSERAFIM,Le Sera fim
ITZY,It Zi
NCT,En Si Ti
TXT,Ti Eks Ti
ATEEZ,Ei-tiz

# ─── English-name Indonesian artists ────────────────────────────────────
Rich Brian,Ric Brayen
NIKI,Niki
Niki,Niki
Weird Genius,Wird Jénius
RAN,Ren
Saykoji,Saikoji

# ─── Brand / category vocab ─────────────────────────────────────────────
K-pop,Kei pop
Kpop,Kei pop
J-pop,Jei pop
Indonesian Idol,Indonesien Aidol
X Factor,Eks Faktor
