Name,Phonetic
NASDAQ,Naz Dak
S&P 500,S and P five hundred
S&P,S and P
# Sep 26 2026 (lint PR04): letter names, not bare vowels (rulebook: BTS = Bee Tee Ess).
CPI,See Pee Eye
GDP,G D P
IPO,Eye Pee Oh
ETF,E T F
EUR/USD,Euro U S Dollar
GBP/USD,Pound U S Dollar
USD/JPY,U S Dollar Yen
FOMC,Eff Oh Em See
ECB,E C B
NYSE,En Why Ess Ee
FTSE,Footsie
DAX,Dax
M&A,Mergers and Acquisitions
YoY,Year over Year
QoQ,Quarter over Quarter
bps,basis points
bn,billion
tn,trillion
# Sep 26 2026: source name read before every PYMNTS story; no vowel, so it was spelled out.
PYMNTS,Payments
