# Tinh Tú phonetic overrides for vi-VN system TTS.
# Format: original,phonetic-rendering
# Lines beginning with # are ignored. Empty lines skipped.
# Word-boundary matched, case-insensitive. Add new rows freely.

# ─── Publishers / sources ────────────────────────────────────────────────
# ORDER MATTERS: list the domain form (vnexpress.net) BEFORE the bare brand
# (VnExpress). Rules apply top-to-bottom; if the bare brand ran first it would
# consume "vnexpress" inside "vnexpress.net" and leave the orphan ".net", which
# the TTS then reads as "chấm net". Domain-first keeps the suffix from leaking.
vnexpress.net,Vê Nờ Ép Sờ Prét
VnExpress,Vê Nờ Ép Sờ Prét
kenh14.vn,Kê Mười Bốn
Kenh14,Kê Mười Bốn
znews.vn,Zét Niu Sờ
ZNews,Zét Niu Sờ
Znews,Zét Niu Sờ
DanTri,Dân Trí
Dân Trí,Dân Trí
ThanhNien,Thanh Niên
Thanh Niên,Thanh Niên
TuoiTre,Tuổi Trẻ
Tuổi Trẻ,Tuổi Trẻ
VietnamNet,Việt Nam Nét
Soha,Sô Ha

# ─── English abbreviations heard as Vietnamese letters ─────────────────
MV,Em Vi
MC,Em Xê
DJ,Đi Giây
OST,Ô Ét Tê
PV,Pê Vê
TV,Ti Vi
CEO,Si I Ô
CD,Si Đi
DVD,Đi Vi Đi
HD,Hát Đê
3D,Ba Đê
EP,I Pi
LP,En Pê
DOP,Đi O Pi

# Sep 26 2026: honorific titles read before artists' names; spelled out letter by letter
# they are not how Vietnamese press reads them (11 + 7 hits in 140 live items).
NSND,Nghệ sĩ Nhân dân
NSƯT,Nghệ sĩ Ưu tú

# ─── K-pop names commonly mentioned in Vietnamese press ─────────────────
BTS,Bi Ti Ét Sờ
BLACKPINK,Bờ Lác Pinh Cờ
NewJeans,Niu Gin Sờ
TWICE,Tu Ai Sờ
Stray Kids,Sờ Trây Kit Sờ
LE SSERAFIM,Le Sê Ra Phim
ITZY,Ít Si
NCT,En Si Ti
TXT,Ti Ích Ti
ATEEZ,Ây Tin Sờ

# ─── V-pop & Vietnamese stars that benefit from a written-out pronunciation
M-TP,Em Tê Pê
# Sep 26 2026: the stage name is the Vietnamese "Hiếu thứ hai"; the old row read "hi yu".
HIEUTHUHAI,Hiếu Thứ Hai
MONO,Mô Nô
AMEE,A Mi
GREY D,Gờ Rây Đi
Wren Evans,Ren E Văn Sờ
HURRYKNG,Hơ Ri Kinh

# ─── Hashtag / branded phrases ──────────────────────────────────────────
V-pop,Vi Pốp
Vpop,Vi Pốp
K-pop,Ka Pốp
Kpop,Ka Pốp
