Name,Phonetic
HYBE,Hive
BigHit Music,Big Hit Music
Pledis,Pleh dis
Source Music,Source Music
ADOR,Ay Door
A.D.O.R,Ay Door
A.D.O.R.,Ay Door
Belift Lab,Belift Lab
KOZ Entertainment,Koz Entertainment
SM Entertainment,Es Em Entertainment
JYP Entertainment,Jay Why Pee Entertainment
YG Entertainment,Why Jee Entertainment
Starship Entertainment,Star ship Entertainment
Cube Entertainment,Cube Entertainment
FNC Entertainment,Ef En See Entertainment
WM Entertainment,Double You Em Entertainment
RBW,Ar Bee Double You
DSP Media,Dee Es Pee Media
Woollim Entertainment,Wool leem Entertainment
Jellyfish Entertainment,Jellyfish Entertainment
Pnation,P Nation
AOMG,Ay Oh Em Jee
Mystic Story,Mystic Story
MLD Entertainment,Em El Dee Entertainment
Konnect Entertainment,Koh nect Entertainment
KQ Entertainment,Kay Kyoo Entertainment
Attrakt,Ah trakt
IST Entertainment,Eye Es Tee Entertainment
Fantagio Music,Fan tah gio Music
Yuehua Entertainment,Yweh hwa Entertainment
TOP Media,Top Media
143 Entertainment,One Four Three Entertainment
BlockBerry Creative,Blockberry Creative
Modhaus,Mod house
BTS,Bee Tee Ess
Bangtan Boys,Bahng tahn Boys
SEVENTEEN,Seventeen
TXT,Tee Ex Tee
Tomorrow X Together,Tomorrow By Together
ENHYPEN,En High Pin
LE SSERAFIM,Lay Seraphim
LESSERAFIM,Lay Seraphim
LeSserafim,Lay Seraphim
NewJeans,New Jeans
ILLIT,Eye lit
BOYNEXTDOOR,Boy Next Door
TWS,Two Uhs
KATSEYE,Kat Eye
&TEAM,And Team
ZEROBASEONE,Zero Base One
ZB1,Zee Bee One
NCT,En See Tee
NCT 127,En See Tee One Two Seven
NCT DREAM,En See Tee Dream
WayV,Way Vee
RIIZE,Rise
aespa,Ay spa
Red Velvet,Red Velvet
Girls' Generation,Girls Generation
SNSD,Es En Es Dee
EXO,Eck so
SHINee,Shiny
Super Junior,Super Junior
TVXQ,Tee Vee Ex Kyoo
Stray Kids,Stray Kids
TWICE,Twice
ITZY,It zee
NMIXX,En Miks
NiziU,Nee zee You
DAY6,Day Six
2PM,Two Pee Em
GOT7,Got Seven
BLACKPINK,Black Pink
BIGBANG,Big Bang
BABYMONSTER,Baby Monster
TREASURE,Treasure
WINNER,Winner
iKON,Eye Kon
AKMU,Ack Moo
Akmu,Ack Moo
Akdong Musician,Ack dong Musician
IVE,Aiv
STAYC,Stay See
Kep1er,Kep ler
CRAVITY,Cravity
MONSTA X,Mon sta Eks
WJSN,Double You Jay Es En
Cosmic Girls,Cosmic Girls
(G)I-DLE,Jee Eye Dul
i-dle,Eye Dul
BTOB,Bee To Bee
Lightsum,Light Sum
ATEEZ,Ay Teez
xikers,Zai kers
P1Harmony,P One Harmony
TEMPEST,Tempest
Apink,Ay Pink
MAMAMOO,Mama Moo
ONEUS,One us
ONEWE,One we
